company,date,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,file_url
Kajaria Ceramics Ltd,2025-07-22T14:25:21.29,1102.74,110.31,,6.84,6.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ae3ac12a-ba5d-44f2-8041-c2858495eaca.pdf
Kalpataru Projects International Ltd,2025-08-07T15:52:15.583,6171.17,213.59,,12.51,12.51,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=68f4d20a-06c4-4807-b6f4-7490edcf0998.pdf
Kalyan Jewellers India Ltd,2025-08-07T15:34:02.113,72684.75,2640.84,,2.56,2.56,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e7b526b2-40e0-431d-8ad0-bafea4d13688.pdf
Kansai Nerolac Paints Ltd,2025-08-04T18:41:57.103,2087.42,230.85,311.97,2.86,2.85,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=827d7c9a-4fef-47de-92d1-618104501fe7.pdf
Karur Vysya Bank Ltd,2025-07-24T17:53:12.89,,521,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=16EF7DC2-AB8A-4B28-8252-470B611D3CFD-175307.pdf
Karur Vysya Bank Ltd,2025-07-24T16:37:01.26,301580,52145,,6.48,6.47,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40037854-6601-45A4-B750-AA2DEAAFA061-163651.pdf
Kaynes Technology India Ltd,2025-07-31T12:04:40.153,7005.62,746.12,,11.63,11.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd9185f6-eb95-4766-85c8-c33fa939b2ac.pdf
KEC International Ltd,2025-07-28T20:11:20.793,5022.88,124.6,350.1,4.68,4.68,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=070de3a3-fd8b-4cd2-af12-86d2201d49be.pdf
KEI Industries Ltd,2025-07-22T17:26:21.093,25903.16,1957.47,,22.47,22.47,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea37159c-ac14-4c48-81d3-a447fc986f29.pdf
KFin Technologies Ltd,2025-07-24T18:57:46.59,2740.58,772.57,,4.49,4.45,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=90a8dd46-0327-4901-94a7-6370e020c7fc.pdf
Kirloskar Brothers Ltd-$,2025-08-01T11:57:30.3,9949,675,,8.4,8.4,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c8accb73-8fae-41ca-82db-96961088795a.pdf
Kirloskar Oil Engines Ltd,2025-08-06T17:22:42.76,1763.8,138.92,,9.77,9.75,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4dbb3d41-1cfd-4754-8362-9f772c375a0b.pdf
KNR Constructions Ltd,2025-08-11T18:05:38.51,61272.28,12340.75,,4.39,4.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=984b558e-8693-4752-abf5-ca3f9146d1d5.pdf
Kotak Mahindra Bank Ltd,2025-07-26T13:09:28.65,26703.92,4472.18,,22.49,22.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b600aea9-e122-4957-84f9-6fc20ecd2388.pdf
KPIT Technologies Ltd,2025-07-30T14:10:18.737,15387.61,1718.99,,6.32,6.28,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=43ef0963-6ff6-40e4-a367-b086eefc4c90.pdf
Krishna Institute of Medical Sciences Ltd,2025-08-06T14:52:56.663,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=46337bd3-ed47-471f-8f38-cc2543e9824c.pdf
L&T Finance Ltd,2025-07-18T20:03:14.453,4259.6,700.84,,2.81,2.8,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0d6d3617-15b9-4bee-a742-16ab91bd1cce.pdf
L&T Technology Services Ltd,2025-07-16T16:33:44.66,28660,3161,,29.81,29.77,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7bded3fd-f159-48e9-90ac-d550f07cb603.pdf
Larsen & Toubro Ltd,2025-07-29T17:23:12.05,63678.92,4318.17,,26.3,26.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=df59b333-5bf8-49ff-bae7-83abac950694.pdf
Latent View Analytics Ltd,2025-07-21T14:58:45.223,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d0875b3-5efa-43a6-b90e-765510d8970e.pdf
Laurus Labs Ltd,2025-07-25T15:06:31.483,1569.57,161.68,,3.02,3.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e5704577-f7fa-48fb-9670-37bb094b5d9b.pdf
Lemon Tree Hotels Ltd,2025-08-08T20:31:05.97,31741.13,4810.01,14214.77,0.48,0.48,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2fc3270a-5df2-43cb-a618-d10816c2821c.pdf
LIC Housing Finance Ltd,2025-08-01T20:10:46.28,7250.16,1363.2,,24.72,24.72,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a4b8cdc6-71e3-4d75-ae61-dcbaa66fa3dc.pdf
Linde India Ltd,2025-08-07T17:47:23.21,5710.8,1071.9,,12.57,12.57,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d13a0bd6-310d-437e-9d75-db95746f9d1f.pdf
Lloyds Metals and Energy Ltd,2025-08-12T21:14:26.73,2411.71,641.59,,12.12,11.28,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=afc5dbd4-ad65-451c-b1ea-09c30d77f76b.pdf
Lodha Developers Ltd,2025-07-26T19:33:46.697,34917,6751,,6.76,6.74,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8ea189f2-de2f-491c-996c-b5a630e7f40c.pdf
LT Foods Ltd,2025-07-24T14:11:51.737,246591.67,16530.47,,1.1,1.07,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7e56b4ba-e810-467e-aeb1-a847d46e0665.pdf
LTIMindtree Ltd,2025-07-17T16:50:25.697,98406,12546,16494,42.3,42.3,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7efeaa63-d62b-4ac4-be31-15068e575939.pdf
Lupin Ltd,2025-08-05T20:40:18.32,62683.4,12214.6,,26.7,26.62,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0722fe03-4c2d-46bf-954d-977d3a04e9fa.pdf
Mahanagar Gas Ltd,2025-07-22T13:50:19.493,2159.72,324.32,485.36,32.83,32.83,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa963a39-c817-424e-b45c-e4d1cadf7128.pdf
Maharashtra Seamless Ltd,2025-07-30T15:39:06.743,1305.03,230.3,,17.19,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6d5b6efe-fb6d-4376-8ce5-1aa4b434f535.pdf
Mahindra & Mahindra Financial Services Ltd,2025-07-22T14:39:25.083,4990.61,528.96,,4.06,4.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=93515620-9586-4eaa-b308-9aada4ae8ca2.pdf
Mahindra & Mahindra Ltd,2025-07-30T17:00:58.013,45529.19,4376.58,,36.58,36.43,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dfc7f8ce-b986-46ab-a563-3dc9fcd298cc.pdf
Manappuram Finance Ltd,2025-08-08T17:30:36.383,2262.39,392.11,,4.63,4.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b7ced6a2-24cd-429d-b4a0-0be9efb2b1ff.pdf
Manappuram Finance Ltd,2025-08-08T15:54:20.92,2262.39,392.11,,4.63,4.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=65f07d3a-68bd-4ca5-bd0f-4bb6c4fecad9.pdf
Mangalore Refinery and Petrochemicals Ltd,2025-07-18T19:24:06.94,20988.03,-270.66,,-1.54,-1.54,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=73153c24-6b3e-4b06-97ee-8c01e977ba43.pdf
Mankind Pharma Ltd,2025-07-31T17:50:01.093,3570.35,444.62,737.03,10.62,10.6,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2571e45e-4fa5-4ba5-8739-771a36c4ba7e.pdf
Marico Ltd,2025-08-04T13:54:32.613,3259,513,,3.9,3.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0f65df5e-ae88-4134-a40c-274fba84d0ee.pdf
Maruti Suzuki India Ltd,2025-07-31T14:58:39.003,386052,37924,,120.62,120.62,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=137cfadf-5b68-453d-b006-18b67f7b250e.pdf
Mastek Ltd,2025-07-18T18:19:13.72,91470,9205,,29.75,29.5,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=77959292-5fb6-41e0-b5f2-bd8a241bef82.pdf
Max Financial Services Ltd,2025-08-07T19:15:57.92,12821.65,86.45,,2.04,2.04,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f071a436-3378-41b3-aca5-a2203154f508.pdf
Max Healthcare Institute Ltd,2025-08-13T12:19:34.36,202757,30797,,3.17,3.15,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=77b28dfd-7afd-44d1-8a60-1b08c4600961.pdf
Metropolis Healthcare Ltd,2025-08-07T17:05:07.063,38606.32,4524.53,,8.7,8.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c6b35fc6-4a14-4427-a2ba-40513a7929bc.pdf
Minda Corporation Ltd,2025-08-12T14:49:57,1386,65,156,0.94,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bf371238-3c25-40b5-b072-0fb2a9b5f1b1.pdf
MMTC Ltd,2025-08-11T16:54:36.93,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c0c8e59e-af0e-4e60-a40e-5b4c3ab40e68.pdf
MMTC Ltd,2025-08-07T15:26:56.867,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f9f7d5fb-ee26-4931-b642-026d955089e4.pdf
Motherson Sumi Wiring India Ltd,2025-07-28T14:57:49.537,2494.03,143.1,,0.22,0.22,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=feb712ad-d3fe-4816-a554-628527d244d8.pdf
Motilal Oswal Financial Services Ltd,2025-07-24T13:06:25.703,273758,115847,127456,19.39,19.1,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=13d9eeab-c4de-4a9d-b793-1fc1940b530e.pdf
MRF Ltd,2025-08-12T12:36:33.947,7675.69,500.47,,1180.04,1180.04,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=780e94c6-b93c-4d20-a797-1d5de980812f.pdf
Multi Commodity Exchange of India Ltd,2025-08-01T19:23:02.337,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c9b1b642-78c4-44e4-b126-eaf296b8aff3.pdf
Muthoot Finance Ltd,2025-08-13T16:03:38.163,57200,20463,,50.97,50.97,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8518f9ca-aab7-43c2-9d6d-42cda3756b7e.pdf
Narayana Hrudayalaya Ltd,2025-08-01T19:00:42.1,15072.69,1960.51,3607.43,9.65,9.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b1687a75-614d-412d-ab58-8123b1a377b2.pdf
Natco Pharma Ltd,2025-08-12T13:42:42.153,13906,4803,6327,26.84,26.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f60029ee-facd-467a-be0e-d7087b619896.pdf
National Aluminium Company Ltd,2025-08-07T15:29:25.157,3806.94,1414.89,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8a02a468-2f7c-45e3-a4ee-7a98ca111c4d.pdf
Nava Ltd,2025-08-14T12:36:53.01,119322.36,39909.07,,10.89,10.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a549a3b4-5417-484b-b24a-e916f6e9224b.pdf
Navin Fluorine International Ltd-$,2025-07-30T16:38:40.2,739.31,117.17,,23.63,23.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=32498cd9-daab-4d57-a811-3f0d66ffdc5b.pdf
NCC Ltd,2025-08-05T16:53:17.703,5207.93,192.14,456.12,3.06,3.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4352fc09-3aef-4e44-80bc-98afec580628.pdf
Nestle India Ltd,2025-07-24T11:37:10.49,50961.6,6465.9,11002.6,6.71,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b9cb6645-01db-47e9-82b4-30426329a6f0.pdf
Network 18 Media & Investments Ltd,2025-07-15T18:07:42.59,467.86,148.85,,0.97,0.97,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d7cf73a1-683b-44f0-a939-0c44718fe2d7.pdf
Neuland Laboratories Ltd,2025-07-31T16:21:02.433,29275.27,1390,,10.83,10.83,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1dcfffb6-a551-48fb-9a05-f75134edaceb.pdf
Newgen Software Technologies Ltd,2025-07-17T12:52:05.627,32055.63,4972.06,,3.55,3.45,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=20702123-c8ba-48ba-a662-6c7e73dab3b7.pdf
NHPC Ltd,2025-08-12T20:53:56.71,3213.77,1131.16,,1.06,1.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=02f85dbd-74a7-4016-a11b-da59ceecf256.pdf
Nippon Life India Asset Management Ltd,2025-07-28T14:34:40.427,606.61,396.12,,6.24,6.13,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0d909eab-f472-4328-a78a-1a2cfba0df70.pdf
NLC India Ltd,2025-08-07T20:30:01.407,3825.61,839.21,,5.02,5.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=211c0dd2-e5c6-4d7b-b295-fd81f71d762a.pdf
NTPC Green Energy Ltd,2025-07-28T19:01:36.847,680.21,220.48,,0.26,0.26,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=994c2f77-3d81-4ba2-8166-5d4fba0add54.pdf
NTPC Ltd,2025-07-29T20:16:33.737,47065.36,6108.46,,6.2,6.2,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f450a9d4-8d3c-4689-a14d-ed576cc931c1.pdf
Nuvama Wealth Management Ltd,2025-08-13T20:40:03.537,1124.61,263.87,,73.36,70.7,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=20151be1-5b1c-437a-a2b8-fdf5887f9111.pdf
Nuvama Wealth Management Ltd,2025-08-13T20:34:01.65,1124.61,263.87,,73.36,70.7,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f6d9b4fa-b156-4078-9041-fc8e0a161452.pdf
Oberoi Realty Ltd,2025-07-21T19:54:52.933,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=517bd7da-65a1-47c1-b085-ea70ec07f52b.pdf
Oberoi Realty Ltd,2025-07-21T19:52:01.463,1073.98,421,606.77,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1376adf-90ea-43bc-8a0f-152bae8270d0.pdf
Oberoi Realty Ltd,2025-07-21T17:36:05.62,98755,42125,,11.59,11.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b53c3a5d-7335-40d0-b289-784a2f3863f4.pdf
Oil and Natural Gas Corporation Ltd,2025-08-12T22:05:55.943,163108.12,11554.21,19089.95,7.79,7.79,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12b96aba-30b4-425e-9968-21d60f49f1c6.pdf
Oil India Ltd,2025-08-12T19:33:07.527,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1dae1f7c-b94d-4283-8cc1-6e522e1ddff3.pdf
Ola Electric Mobility Ltd,2025-07-14T11:15:12.293,828,-428,-169,-0.97,-0.97,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=299e3339-6d32-4097-b54c-19bb5f7c8440.pdf
Olectra Greentech Ltd,2025-08-09T19:02:49.923,34722.35,2602.77,,3.17,3.17,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=52465e34-510b-486b-96cf-a30d5da505f8.pdf
One 97 Communications Ltd,2025-07-22T15:58:20.503,19175,1225,,1.92,1.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b43a6045-18c4-4a84-ac60-54c24ee45770.pdf
Oracle Financial Services Software Ltd,2025-07-23T19:31:29.41,18522,6419,,73.88,73.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5de5860a-2a52-40c6-90f2-13275902e543.pdf
Page Industries Ltd,2025-08-07T14:44:37.583,131656.11,20079.63,,180.02,180.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f081ade0-e63a-49a0-a381-37deabd59403.pdf
Patanjali Foods Ltd,2025-08-14T17:31:15.7,889970.53,18039.14,33417,4.98,4.98,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c32377eb-e090-4d6d-84c7-dbb00167973b.pdf
PB Fintech Ltd,2025-07-31T20:52:35.82,134799,8465,34,1.85,1.82,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fc2cbd11-e3b9-44bd-b08a-0c5ceb0d5bef.pdf
PCBL Chemical Ltd,2025-07-23T14:08:45.087,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4e09f7c3-6f9a-429e-bbb4-e624018a4807.pdf
Persistent Systems Ltd,2025-07-23T16:37:07.573,33335.87,4249.36,5554.07,27.43,27.21,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4c4eb918-05dd-475e-bdff-c1046751e431.pdf
Pfizer Ltd,2025-08-13T16:58:44.217,603.05,191.75,,41.91,41.91,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9f866d67-cbc6-4d5e-8a13-caf26cc7468e.pdf
PG Electroplast Ltd,2025-08-08T13:53:59.29,150138.85,6698.45,,2.37,2.37,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=81e1e75d-b6e3-4621-a96b-91fbf8616ab9.pdf
PI Industries Ltd,2025-08-12T18:45:53.68,19005,4000,,26.37,26.36,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=337ff6e1-3b8e-4f34-ba41-ab48c4d0660d.pdf
Pidilite Industries Ltd,2025-08-06T14:35:42.08,3753.1,678.13,,13.22,13.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b14a8225-fc68-463b-aabf-a8383cbce058.pdf
Piramal Enterprises Ltd,2025-07-29T15:58:53.323,2642.67,276.37,,12.22,12.13,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=db9116ec-0ac2-4343-abac-a323cd525f32.pdf
Piramal Pharma Ltd,2025-07-28T21:59:39.57,1933.71,-81.7,,-0.62,-0.62,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f13fadb0-a355-4091-803d-ca4c581b32f6.pdf
PNB Housing Finance Ltd,2025-07-21T19:54:13.64,2081.87,533.5,,20.52,20.45,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9f705cd2-8b39-4f06-8360-1f10ab51d6b3.pdf
PNC Infratech Ltd,2025-08-13T15:17:21.873,14228008,131145,,16.81,16.81,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bd31248b-70d8-4236-ad87-0273b92fbceb.pdf
Poly Medicure Ltd,2025-08-08T14:43:09.667,40321.07,9308.29,,9.19,9.17,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=31c24140-efd4-48e9-8cb0-975d233dfbc6.pdf
Polycab India Ltd,2025-07-17T14:49:48.767,59059.76,5996.96,,39.36,39.21,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dc2dc64e-aa5a-4384-aaa9-a6e8709ccf26.pdf
Poonawalla Fincorp Ltd,2025-07-25T16:49:13.753,1313.97,62.6,,0.81,0.81,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5f6e71d6-8b9a-4e8d-ba95-29df8dcc3e9d.pdf
Power Finance Corporation Ltd,2025-08-06T13:14:27.747,28628.92,8981.45,,20.81,20.81,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=effa477e-ce6b-4950-8f40-1d8cdc378898.pdf
Power Grid Corporation of India Ltd,2025-07-30T14:55:10.92,11196.22,3630.58,,3.9,3.9,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c966b684-385b-4634-b058-a6e221cfde5b.pdf
Praj Industries Ltd,2025-08-11T15:35:15.777,6402.019,53.396,,0.29,0.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=18f26806-ded6-47fd-ba76-5959de03229b.pdf
Premier Energies Ltd,2025-07-26T18:32:22.35,18207.42,3077.93,,6.83,6.83,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=16cf3a6c-3160-41ab-91a3-dbbeef0e8c00.pdf
Prestige Estates Projects Ltd,2025-08-05T19:58:31.05,23073,3115,,6.79,6.79,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1379b33-ca4c-44f4-bc57-e1df76689a35.pdf
PTC Industries Ltd,2025-08-08T16:11:31.157,9714.63,515.56,,3.44,3.44,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d547a28e-a098-477c-aa44-1884aecdddd9.pdf
PVR Inox Ltd,2025-08-06T13:46:33.39,14691,-540,,-5.51,-5.51,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=26d3ec66-6256-4e13-a1ae-a43cea5a071e.pdf
R R Kabel Ltd,2025-07-31T18:50:02.74,205858.98,8976.67,,7.94,7.94,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7a2adace-5db5-4ab9-aac8-111a6c48d3dc.pdf
Radico Khaitan Ltd,2025-07-31T14:29:26.803,531351.97,13052.14,,9.75,9.74,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=73aee56d-5780-4566-981c-4bfca3ac1a8c.pdf
Rail Vikas Nigam Ltd,2025-08-12T15:22:20.25,3908.77,134.36,,0.65,0.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a458ea10-cec2-46ab-8261-10ffc75f94da.pdf
RailTel Corporation of India Ltd,2025-07-28T17:02:26.513,74381,6610,,2.06,2.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=103d29d6-946f-4e9c-bfa2-dc1ef14c41c8.pdf
Rainbow Children's Medicare Ltd,2025-07-26T16:31:12.94,3529.29,538.05,,5.27,5.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6036cac7-ddd0-4af0-aac1-ad638f96d915.pdf
Ramkrishna Forgings Ltd,2025-08-01T16:59:09.897,101525.59,1178.63,,0.65,0.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=26a77976-a7f4-47a2-aba0-490275778932.pdf
Rashtriya Chemicals and Fertilizers Ltd,2025-08-12T17:24:40.543,3370.58,54.43,,0.99,0.99,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5ae7c79c-cd03-431c-a644-985ed9278eb3.pdf
Rashtriya Chemicals and Fertilizers Ltd,2025-08-12T17:19:37.42,3370.58,54.43,,0.99,0.99,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=83adc3b5-80c0-4a84-b212-075b709c56f6.pdf
Rattanindia Enterprises Ltd,2025-08-12T14:02:45.73,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=94a4264f-b956-44b3-8291-2f15b55364ed.pdf
Raymond Lifestyle Ltd,2025-08-06T19:03:03.787,143043,1982,12200,3.25,3.25,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=93d31a0f-59bc-4860-89cd-608e5dd2b96a.pdf
Raymond Ltd,2025-08-06T20:17:02.83,52429,532815,8700,800.16,800.16,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d0da4445-4ed3-4ff2-a3be-aeeafcf8eec9.pdf
RBL Bank Ltd,2025-07-19T13:32:28.523,451257,21422,,3.52,3.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d721a775-5184-446a-b987-439fcbf23c5b.pdf
REC Ltd,2025-07-24T15:46:56.497,14823.98,4465.71,,16.96,16.96,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b083a4c7-8b59-4ce9-8934-ac4f1475b4d0.pdf
Redington Ltd,2025-07-30T13:12:37.777,25951.99,232.98,,3.52,3.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b45dc69-5448-432a-a9ed-d70155a4bfc9.pdf
Reliance Industries Ltd,2025-07-18T19:33:19.293,248660,30681,46789,19.95,19.95,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c66ef3df-81cb-4151-b591-7ca46b8ecb23.pdf
Reliance Power Ltd,2025-07-19T14:19:56.383,188558,4468,56500,0.109,0.106,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c269c925-a418-4944-9cd2-90e7ad262fbc.pdf
Rhi Magnesita India Ltd,2025-08-08T17:31:31.51,96031.56,3526.79,,1.71,1.71,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4a625fe1-d0ea-4fd2-90ea-a035cab17bee.pdf
RITES Ltd,2025-08-06T15:33:38.22,489.74,90.89,,1.67,1.67,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1c6c5355-f5e0-4650-b426-8ddefdcf8b6a.pdf
Route Mobile Ltd,2025-07-18T00:29:40.41,1050.83,58.78,,8.45,8.45,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2b5cbda2-69dd-44bd-aaff-ed8b734c40ff.pdf
Sagility India Ltd,2025-07-30T18:22:13.72,15389,1486,3560,0.32,0.32,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a66881f7-36d5-4180-a9bf-8317edda7582.pdf
Sai Life Sciences Ltd,2025-08-07T23:15:43.117,4964.19,604.55,,2.9,2.83,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3969a484-8c43-45d3-9874-1b683e50eb4d.pdf
Sammaan Capital Ltd,2025-08-13T14:52:06.713,2191.87,297.44,,3.59,3.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6087a6a6-a3d5-4523-90b5-bc09121018a1.pdf
Samvardhana Motherson International Ltd,2025-08-13T13:24:09.557,30212,606.09,2465.85,0.48,0.48,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1b549ed6-9f2d-4a95-9044-dbbae8959c91.pdf
Sapphire Foods India Ltd,2025-07-23T13:35:04.353,7768.28,-17.38,,-0.06,-0.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5a263768-c4ab-4126-8a83-0626e29abd45.pdf
Sarda Energy & Minerals Ltd-$,2025-08-02T15:53:22.727,1633.11,436.66,,12.33,12.33,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=db2c8e2f-88f7-4bc9-9f11-e5e1a81d1a6c.pdf
